dataset_seed,dataset,arm,ansatz_level,dilution,seed,lr,val_accuracy,test_accuracy,best_epoch,epochs_run,theta_displacement,wall_seconds,run_id
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,linear,2,0.1,0.8183333333333334,0.8125,29,59,1.526708722114563,526.8516700000037,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,linear,2,0.1,0.805,0.8,14,44,0.0,7.69743879197631,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,A,L2,h42,3,0.1,0.955,0.9633333333333334,68,98,1.208589792251587,864.6736226670328,d21_20260822T070952Z
11,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed11,B,L2,h42,3,0.1,0.795,0.7916666666666666,15,45,0.0,8.389817083021626,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,linear,3,0.1,0.8116666666666666,0.8166666666666667,65,95,2.0383083820343018,843.4745764170075,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,linear,3,0.1,0.76,0.7625,168,198,0.0,9.063972125004511,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h2,3,0.1,0.84,0.835,11,41,0.8700598478317261,370.1181669579819,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h2,3,0.1,0.8016666666666666,0.7891666666666667,37,67,0.0,8.213120125001296,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L1,h2,3,0.1,0.8333333333333334,0.8316666666666667,30,60,1.1047613620758057,535.0614194999798,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L1,h2,3,0.1,0.7466666666666667,0.75,77,107,0.0,8.733646959008183,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,linear,3,0.1,0.825,0.825,60,90,1.3392977714538574,803.3515447080135,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,linear,3,0.1,0.7833333333333333,0.7725,18,48,0.0,8.150207499973476,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,linear,1,0.1,0.8216666666666667,0.815,69,99,1.068242073059082,876.0048954590457,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,linear,1,0.1,0.6366666666666667,0.605,18,48,0.0,8.03258158301469,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,A,L2,h2,1,0.1,0.85,0.8541666666666666,26,56,1.5595048666000366,504.9497672080179,d21_20260822T070952Z
22,hyperplanes_n_features20_n_hyperplanes3_dim_hyperplanes5_seed22,B,L2,h2,1,0.1,0.6333333333333333,0.6433333333333333,26,56,0.0,8.020935042004567,d21_20260822T070952Z
