source,dataset_seed,arm,ansatz,dilution,seed,n_params,norm_over_sqrt_P,mean_abs,median_abs,max_abs,K_gt_0.01,K_gt_0.05,K_gt_0.1,K_gt_0.2,K_gt_0.5,K_gt_1.0
h3_probe,22,A,L2,h3,2,35,0.7296442877229813,0.5973321058720883,0.46025943756103516,1.937090814113617,35,35,34,31,14,7
h3_probe,22,A,L2,h3,3,35,0.674361804410963,0.5445010440690177,0.4544529914855957,1.521814003586769,35,33,31,28,15,5
h3_probe,22,A,L2,h3,4,35,0.7952892086992258,0.6507567928305694,0.4483891725540161,1.7012910842895508,35,33,33,30,17,9
h3_probe,22,A,L2,h3,5,35,0.6308687423118247,0.45683558117598294,0.3008385896682739,1.7601232826709747,35,33,32,21,11,3
h3_probe,22,A,L2,h3,6,35,0.8449992201932196,0.6884998433158867,0.5448756217956543,2.099363327026367,35,35,34,29,19,6
h3_probe,22,A,L2,h3,7,35,0.44448377239399744,0.33584902499403274,0.2393479347229004,1.2941675186157227,32,29,29,20,7,1
h3_probe,22,A,L2,h3,8,35,0.7528103448762546,0.6099478415080479,0.5916686058044434,1.4061294794082642,35,32,29,27,18,8
h3_probe,22,A,L2,h3,9,35,0.7891371441217306,0.6081098505428859,0.5124430656433105,1.8237197399139404,32,30,28,25,19,9
h3_probe,22,F,product,h3,10,35,0.568919989156728,0.4148530287402017,0.336620032787323,2.178333282470703,35,34,30,24,10,2
h3_probe,22,F,product,h3,10,35,0.9122004144095671,0.6975571755852018,0.5910956859588623,3.064242124557495,35,34,33,27,20,6
h3_probe,22,F,product,h3,1,35,0.834966878445526,0.523286658525467,0.290363073348999,3.483504295349121,34,31,29,24,9,6
h3_probe,22,F,product,h3,1,35,0.13501444311511474,0.1305771762771266,0.12134289741516113,0.17261314392089844,35,34,30,0,0,0
h3_probe,22,F,product,h3,2,35,0.42970389239273105,0.3425665593573025,0.2873462438583374,1.1922502517700195,34,30,29,23,8,1
h3_probe,22,F,product,h3,2,35,0.7126536292976817,0.564687419416649,0.5381543040275574,1.9433694183826447,35,34,33,29,18,5
h3_probe,22,F,product,h3,3,35,0.6903115131744278,0.48894795860563006,0.3140707015991211,2.1165082454681396,35,32,31,25,13,5
h3_probe,22,F,product,h3,3,35,0.6941512358411206,0.4935523578098842,0.3809356689453125,2.0954673290252686,33,30,29,25,15,4
h3_probe,22,F,product,h3,4,35,0.7570773411729775,0.5881802240519651,0.44843339920043945,2.3170018196105957,35,35,33,31,15,4
h3_probe,22,F,product,h3,4,35,0.8539039109493703,0.6253541722893715,0.4172530174255371,2.6249265670776367,35,35,33,28,14,7
h3_probe,22,F,product,h3,5,35,0.4965742194773074,0.4050457375390189,0.30898547172546387,1.1594703197479248,35,34,32,26,11,2
h3_probe,22,F,product,h3,5,35,0.5621448866394126,0.4677639467375619,0.44835329055786133,1.2342467308044434,33,31,30,27,16,3
h3_probe,22,F,product,h3,6,35,0.5998225169088696,0.3892876761300223,0.1637120246887207,1.6447211503982544,33,29,25,15,9,4
h3_probe,22,F,product,h3,6,35,0.6802512937491836,0.45190852739449056,0.19275593757629395,1.6827806234359741,35,29,22,17,11,5
h3_probe,22,F,product,h3,7,35,0.3073970397889668,0.23055055269173214,0.18009614944458008,0.7843215465545654,33,30,22,17,4,0
h3_probe,22,F,product,h3,7,35,0.5985676426036385,0.4430632503969329,0.321765661239624,1.7458901405334473,32,32,32,25,11,5
h3_probe,22,F,product,h3,8,35,0.2699734310459426,0.20540906361171177,0.18714892864227295,0.6217536926269531,34,27,20,15,3,0
h3_probe,22,F,product,h3,8,35,0.665800269887308,0.45597567430564334,0.27664852142333984,2.1818573474884033,35,33,32,19,12,4
h3_probe,22,F,product,h3,9,35,0.5758045898390156,0.4677748811564275,0.4101896286010742,1.3664237409830093,35,34,31,26,13,4
h3_probe,22,F,product,h3,9,35,0.740321530138762,0.5910051992528939,0.5572388768196106,1.6718144416809082,35,34,30,25,20,7
h3_probe,33,A,L1,h3,10,35,1.0539167683789585,0.8859370589123241,0.7883644104003906,2.2327293753623962,35,35,35,31,24,14
h3_probe,33,A,L1,h3,1,35,0.8043151848725782,0.5844101811093944,0.42229509353637695,2.5760387778282166,33,31,31,27,16,5
h3_probe,33,A,L1,h3,2,35,0.7900836255253633,0.6093662462064198,0.43015456199645996,2.4595835357904434,34,34,32,30,16,5
h3_probe,33,A,L1,h3,3,35,0.7823995712013354,0.5826092183456889,0.4919288158416748,2.3523502349853516,35,33,29,25,17,4
h3_probe,33,A,L1,h3,4,35,0.9946904167384911,0.8455441061407327,0.6855542659759521,2.19411563873291,35,35,35,32,23,11
h3_probe,33,A,L1,h3,5,35,0.7845531138933841,0.6273767552205495,0.5215449333190918,1.556391716003418,35,33,30,28,19,9
h3_probe,33,A,L1,h3,6,35,0.8064883554094306,0.6352414379694632,0.5547747611999512,1.9293293952941895,35,32,31,28,20,6
h3_probe,33,A,L1,h3,7,35,0.7806937099081596,0.6083519846999219,0.5552434921264648,1.8504223823547363,34,32,31,28,18,5
h3_probe,33,A,L1,h3,8,35,0.9816053258779894,0.7411779975252492,0.5623068809509277,2.189438819885254,33,31,28,25,20,11
h3_probe,33,A,L1,h3,9,35,0.8948336555467246,0.7177878218037742,0.5037700235843658,1.8336760997772217,35,33,32,30,19,12
h3_probe,33,A,L2,h3,10,35,0.875613002398293,0.6409594652908189,0.4185047149658203,2.0536170601844788,34,31,29,27,16,7
h3_probe,33,A,L2,h3,1,35,0.906593656642871,0.71134254272495,0.5478537082672119,2.266916513442993,34,34,32,29,18,10
h3_probe,33,A,L2,h3,2,35,0.6718343945645827,0.5306513821772699,0.41431188583374023,1.7325572967529297,35,34,33,27,13,6
h3_probe,33,A,L2,h3,3,35,0.8525248586861643,0.6204287918550627,0.3763826936483383,2.321495771408081,33,32,30,28,15,8
h3_probe,33,A,L2,h3,4,35,0.7341699385339012,0.6121160408215863,0.5444421768188477,1.5454659461975098,35,33,31,29,20,8
h3_probe,33,A,L2,h3,5,35,0.6247893178213721,0.4819384199168001,0.33041954040527344,1.3246232271194458,34,32,29,23,15,6
h3_probe,33,A,L2,h3,6,35,0.8941017490121959,0.6377722778490611,0.4092130661010742,2.6390058994293213,34,31,30,26,17,6
h3_probe,33,A,L2,h3,7,35,0.7027125981638377,0.523221552159105,0.3230454921722412,1.9817962050437927,35,34,33,27,14,5
h3_probe,33,A,L2,h3,8,35,0.8102183739753226,0.6504488736391068,0.43890380859375,1.752914622426033,35,34,31,28,17,12
h3_probe,33,A,L2,h3,9,35,0.7929777538630923,0.6283076792955399,0.577686071395874,1.9377720355987549,34,32,29,27,20,7
h3_probe,33,F,product,h3,10,35,0.6167934233873532,0.42879221609660556,0.1986854076385498,1.9240107536315918,35,32,28,17,13,3
h3_probe,33,F,product,h3,1,35,0.8940941918580501,0.6482802471079464,0.5051026344299316,2.388959050178528,34,30,29,27,18,8
h3_probe,33,F,product,h3,2,35,0.627650382266445,0.4533654237432139,0.3480767011642456,2.031173884868622,35,31,28,24,12,4
h3_probe,33,F,product,h3,3,35,0.6734819673396438,0.42629428314311163,0.21125072240829468,2.103078842163086,34,32,25,19,9,5
h3_probe,33,F,product,h3,4,35,0.8167348605914754,0.6210923778159277,0.46163201332092285,2.5536556243896484,35,34,33,29,15,5
h3_probe,33,F,product,h3,5,35,0.552544758070736,0.45986135644572124,0.40311044454574585,1.4956494569778442,35,34,33,29,13,2
h3_probe,33,F,product,h3,6,35,0.5629156629356681,0.40465964333021215,0.2554086446762085,1.660462737083435,35,29,27,21,11,3
h3_probe,33,F,product,h3,7,35,0.45082009137123247,0.374907728603908,0.331010103225708,0.9028483033180237,35,32,29,26,10,0
h3_probe,33,F,product,h3,8,35,0.5946411044487895,0.41636793528284344,0.2867506146430969,2.058259606361389,35,30,28,23,11,2
h3_probe,33,F,product,h3,9,35,0.508248127616165,0.34660067079322676,0.20537805557250977,1.7040659189224243,34,27,24,18,9,1
