status,estimand,dilution,ansatz,level,generator_seed,n,mean,ci95_low,ci95_high,p_sign_exact,sigma,df,ceiling,in_ceiling,diverges_from_pooled,divergence_rule
complete contract grid,delta_AE,h42,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,-0.02069444444444447,-0.027188379302168546,-0.014200509586720395,8.430331945419312e-06,0.017335128705688856,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L2,per dataset,11,10,-0.0173333333333333,-0.023940561254681997,-0.010726105411984608,0.001953125,0.009236267751386806,9,0.21277777777777784,-0.08146214099216692,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L2,per dataset,22,10,-0.03233333333333331,-0.04766315634933782,-0.0170035103173288,0.001953125,0.02142961490698624,9,0.1805555555555557,-0.17907692307692283,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L2,per dataset,33,10,-0.03225,-0.04073681225906977,-0.023763187740930232,0.001953125,0.01186374547898444,9,0.1677777777777778,-0.1922185430463576,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,h42,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,-0.027305555555555538,-0.03296737478837033,-0.021643736322740748,1.862645149230957e-09,0.015113851194926663,27,per generator seed — see the rows above,per generator seed — see the rows above,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L1,per dataset,11,10,0.050916666666666645,0.04461752034685862,0.05721581298647467,0.001953125,0.008805599368976161,9,0.21277777777777784,0.23929503916449069,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L1,per dataset,22,10,0.014666666666666661,0.007816492794909449,0.021516840538423874,0.021484375,0.009575882772058016,9,0.1805555555555557,0.08123076923076913,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L1,per dataset,33,10,0.05350000000000003,0.04962846334671271,0.05737153665328734,0.001953125,0.005412035056870032,9,0.1677777777777778,0.31887417218543057,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L1,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.03969444444444444,0.03664704641274877,0.042741842476140116,5.774199962615967e-08,0.008134827073923188,27,per generator seed — see the rows above,per generator seed — see the rows above,"DIVERGENCE: [11, 22, 33]","any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L2,per dataset,11,10,0.04683333333333335,0.040722871931247615,0.05294379473541909,0.001953125,0.008541836041681152,9,0.21277777777777784,0.22010443864229767,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L2,per dataset,22,10,0.016249999999999997,0.010923601449755509,0.021576398550244485,0.001953125,0.007445791752044556,9,0.1805555555555557,0.08999999999999991,YES,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L2,per dataset,33,10,0.044916666666666695,0.03723374607783428,0.05259958725549911,0.001953125,0.010739982412565784,9,0.1677777777777778,0.2677152317880796,no,"any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
complete contract grid,delta_AE,linear,L2,"pooled (generator seed = FIXED effect, NOT a variance component)",11|22|33,30,0.03600000000000001,0.032623299499737315,0.03937670050026271,1.862645149230957e-09,0.009013878188659978,27,per generator seed — see the rows above,per generator seed — see the rows above,"DIVERGENCE: [11, 22]","any per-dataset 95% CI failing to overlap the pooled 95% CI. On divergence the PER-DATASET reading wins and the divergence is a finding, not a defect."
