status,estimand,exploratory,generator_seed,dilution,ansatz,cell_lr,n,mean,ci95_low,ci95_high,ci90_low,ci90_high,sigma_delta,sigma_ci95_low,sigma_ci95_high,mde_this_series,mde_constant,above_mde,ci95_excludes_zero,p_sign_exact,p_wilcoxon_exact,p_t,n_positive,n_negative,in_sigma_seed_left,in_sigma_seed_right,in_sigma_delta,in_ceiling,ceiling_used,in_ceiling_by_seed,ceiling_by_seed,unpaired_left,unpaired_right
complete contract grid,delta_AB,no,all present in the CSV,h42,L2,"{""11"": 0.01, ""22"": 0.01, ""33"": 0.01}",30,0.1716666666666666,0.14992902455525337,0.19340430877807985,0.153621572616147,0.1897117607171862,0.05802719491578273,0.045877440249691086,0.0789829360217056,0.030797194997323325,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,4.2535399801855177e-16,30,0,6.485816893588728,3.1595471336006278,2.9583829946598925,,,"{""11"": 0.828329, ""22"": 1.033846, ""33"": 0.906457}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AE,no,all present in the CSV,h42,L2,"{""11"": 0.01, ""22"": 0.01, ""33"": 0.01}",30,-0.027305555555555538,-0.03296737478837033,-0.021643736322740748,-0.03200560812011316,-0.02260550299099792,0.015113851194926663,0.01194930766762564,0.02057201530597835,0.00802148411768365,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,4.198068306793132e-10,0,30,-1.0316436903556179,-1.4881769084329435,-1.8066576945471926,,,"{""11"": -0.081462, ""22"": -0.179077, ""33"": -0.192219}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AF,no,all present in the CSV,h42,L2,"{""11"": 0.01, ""22"": 0.01, ""33"": 0.01}",30,-0.015861111111111114,-0.02241127299971574,-0.009310949222506488,-0.021298604594543708,-0.01042361762767852,0.017485223038078677,0.013824160832627004,0.023799776200558603,0.009280059535135903,0.5307372696891616,yes,yes,0.001430906355381012,3.137253224849701e-05,5.957711259222508e-05,6,24,-0.5992558974497032,-0.7809705504318533,-0.9071151724269898,,,"{""11"": -0.027023, ""22"": -0.131077, ""33"": -0.108278}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_best,yes,all present in the CSV,h42,L2,"{""11"": 0.01, ""22"": 0.01, ""33"": 0.01}",30,-0.06813888888888892,-0.08823239480500725,-0.048045382972770584,-0.08481913425324936,-0.051458643524528475,0.05363828231047399,0.04240747972336548,0.07300902665019343,0.028467835504277422,0.5307372696891616,yes,yes,5.774199962615967e-08,3.725290298461914e-09,2.6084883096244717e-07,1,29,-1.2541050353919654,,-1.2703406215449107,,,"{""11"": -0.193081, ""22"": -0.510923, ""33"": -0.423675}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_matched,yes,all present in the CSV,h42,L2,"{""11"": 0.01, ""22"": 0.01, ""33"": 0.01}",30,0.00872222222222221,-0.018328634482205022,0.03577307892664944,-0.013733536819013665,0.031177981263458082,0.07221046912914951,0.057091015474430025,0.09828830898344365,0.03832478722857831,0.5307372696891616,no,no,0.361594608053565,0.5191292725503445,0.5212856176131184,18,12,0.16053362458747508,0.16807443464594402,0.1207888873651047,,,"{""11"": 0.120627, ""22"": -0.133846, ""33"": 0.14702}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AB,no,all present in the CSV,linear,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.08833333333333333,0.07134246837966914,0.10532419828699753,0.07422868690861517,0.1024379797580515,0.04535598789421394,0.03585933505147866,0.06173569298411141,0.02407211317902977,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,2.558343405896035e-11,30,0,12.371929411145937,1.9816002824839147,1.9475561537620485,,,"{""11"": 0.431984, ""22"": 0.377538, ""33"": 0.625331}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AE,no,all present in the CSV,linear,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.03969444444444445,0.03664704641274878,0.042741842476140116,0.0371647043829663,0.0422241845059226,0.008134827073923188,0.006431554094026574,0.011072610476171023,0.004317455910607464,0.5307372696891616,yes,yes,5.774199962615967e-08,3.725290298461914e-09,6.462442619937936e-12,29,1,5.559587147335706,2.5248836479779055,4.87956831580207,,,"{""11"": 0.239295, ""22"": 0.081231, ""33"": 0.318874}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AF,no,all present in the CSV,linear,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.01574999999999999,0.01290270626094291,0.01859729373905707,0.013386372746988775,0.018113627253011202,0.00760066192698999,0.0060092326351405805,0.010345538769767125,0.0040339545589610296,0.5307372696891616,yes,yes,0.0005461126565933228,9.093433618545532e-06,1.0926483801761218e-05,24,5,2.205938357270359,1.1082462767556371,2.0721879424832275,,,"{""11"": 0.030548, ""22"": 0.026769, ""33"": 0.214073}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_best,yes,all present in the CSV,linear,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,-0.10097222222222225,-0.11752951535631624,-0.08441492908812827,-0.11471694716963853,-0.08722749727480598,0.04419859665760958,0.034944278802768104,0.06016032546676928,0.023457842514152213,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,1.9416666948074866e-13,0,30,-2.2651311405122745,,-2.2845119496534534,,,"{""11"": -0.435901, ""22"": -0.552462, ""33"": -0.658113}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_BD_matched,yes,all present in the CSV,linear,L1,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.041194444444444436,0.019250434549054715,0.06313845433983416,0.022978038066131138,0.05941085082275774,0.05857808003771845,0.04631298084927943,0.07973276589723736,0.031089570262851873,0.5307372696891616,yes,yes,0.0005461126565933228,0.0004932358860969543,0.0004142290211418997,24,5,0.9241236537495738,0.9545113796592045,0.7032399221333188,,,"{""11"": 0.177023, ""22"": 0.230769, ""33"": 0.263742}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AB,no,all present in the CSV,linear,L2,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.11219444444444446,0.08801678594501083,0.13637210294387808,0.09212381676056365,0.13226507212832525,0.0645406569472062,0.0510271112892606,0.08784864727406538,0.034254132052105035,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,1.7658673361877672e-10,30,0,14.59011807904548,1.7683192678892647,1.738352997184685,,,"{""11"": 0.425326, ""22"": 0.677538, ""33"": 0.737583}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AE,no,all present in the CSV,linear,L2,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.03600000000000002,0.03262329949973732,0.039376700500262714,0.033196895698467496,0.03880310430153254,0.009013878188659978,0.007126549174372815,0.01226911907969445,0.0047840010991600825,0.5307372696891616,yes,yes,1.862645149230957e-09,1.862645149230957e-09,1.2927639114551258e-12,30,0,4.681553114742003,2.2898874792017962,3.9938414128216495,,,"{""11"": 0.220104, ""22"": 0.09, ""33"": 0.267715}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
complete contract grid,delta_AF,no,all present in the CSV,linear,L2,"{""11"": 0.03, ""22"": 0.03, ""33"": 0.03}",30,0.01205555555555556,0.009233409175480366,0.014877701935630755,0.009712803908814082,0.01439830720229704,0.007533532718873494,0.005956158964444567,0.01025416675087929,0.003998326586328884,0.5307372696891616,yes,yes,0.00032491423189640045,1.2425705790519714e-05,2.7370774609660462e-05,25,5,1.5677423239182322,0.848287273566044,1.60025263119296,,,"{""11"": 0.011358, ""22"": 0.035538, ""33"": 0.162914}","{""11"": 0.212778, ""22"": 0.180556, ""33"": 0.167778}",0,0
