status,quantity,scope,value,note
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed5,0.0015497385530474888,b=135 c=87 discordant 222
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed6,0.0957976222614759,b=226 c=191 discordant 417
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed7,0.04163828383950259,b=76 c=52 discordant 128
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed8,3.776053240174041e-21,b=193 c=426 discordant 619
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed9,0.014333382131895842,b=169 c=126 discordant 295
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds11|seed10,0.08860470394897874,b=182 c=217 discordant 399
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed1,0.0026574031468815625,b=147 c=99 discordant 246
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed2,4.953344057530937e-05,b=137 c=77 discordant 214
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed3,0.3829778651180765,b=104 c=118 discordant 222
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed4,0.0157076853585072,b=158 c=117 discordant 275
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed5,0.11678744024535467,b=110 c=87 discordant 197
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed6,1.5206295045032275e-05,b=213 c=132 discordant 345
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed7,0.0001270589283811856,b=112 c=178 discordant 290
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed8,0.0002289426404263701,b=217 c=146 discordant 363
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed9,0.008274257614082818,b=213 c=161 discordant 374
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds22|seed10,0.10786900749527104,b=170 c=202 discordant 372
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds33|seed1,1.6984552289426426e-10,b=204 c=94 discordant 298
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds33|seed2,0.32539286944434076,b=177 c=158 discordant 335
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds33|seed3,0.6779503057465475,b=181 c=190 discordant 371
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds33|seed4,0.0017407684829757388,b=183 c=127 discordant 310
complete contract grid,"McNemar p (exact, per seed)",h4|L1|delta_BD_matched|ds33|seed5,5.1664070543545356e-06,b=140 c=73 discordant 213
