status,generator_seed,dilution,ansatz,arm,lr,split,n,mean,sigma_seed,sigma_ci95_low,sigma_ci95_high,min,max,theta_displacement_mean,theta_displacement_max,best_epoch_mean,epochs_run_mean
complete contract grid,all present in the CSV,h4,,F,0.03,test,30,0.8334444444444445,0.031530054182169164,0.02511075374106105,0.04238633043936374,0.8008333333333333,0.9558333333333332,0.7516412913799286,0.9626386761665344,75.53333333333333,105.53333333333333
complete contract grid,all present in the CSV,h4,,F,0.03,val,30,0.8421111111111111,0.03472644418776456,0.027656380901330425,0.04668328604265809,0.8083333333333333,0.9516666666666668,0.7516412913799286,0.9626386761665344,75.53333333333333,105.53333333333333
complete contract grid,all present in the CSV,h4,L2,A,0.03,test,30,0.854138888888889,0.0314500176139579,0.02504701206326307,0.042278736065823025,0.8075,0.94,0.8420555233955384,1.1143741607666016,93.23333333333333,122.5
complete contract grid,all present in the CSV,h4,L2,A,0.03,val,30,0.8631111111111112,0.03146406249370729,0.025058197502865302,0.042297616810860736,0.8133333333333334,0.93,0.8420555233955384,1.1143741607666016,93.23333333333333,122.5
complete contract grid,all present in the CSV,h4,L2,B,0.03,test,30,0.7256111111111113,0.07553225356246679,0.06015441038433382,0.10153915498626243,0.465,0.8166666666666667,0.0,0.0,57.9,87.9
complete contract grid,all present in the CSV,h4,L2,B,0.03,val,30,0.7308333333333332,0.07712599782323654,0.06142367936266151,0.10368164958784254,0.525,0.8383333333333334,0.0,0.0,57.9,87.9
complete contract grid,all present in the CSV,h4,,D_matched,0.03,test,30,0.7258055555555555,0.03854171455935722,0.03069488867563069,0.05181221191609644,0.6491666666666667,0.7991666666666667,0.0,0.0,52.03333333333333,82.03333333333333
complete contract grid,all present in the CSV,h4,,D_matched,0.03,val,30,0.7283333333333334,0.03871004305022394,0.030828946652738422,0.052038498461467214,0.65,0.7966666666666666,0.0,0.0,52.03333333333333,82.03333333333333
complete contract grid,all present in the CSV,h4,,E,0.1,test,30,0.856,0.04758356231198807,0.03789587891081016,0.06396730509833921,0.7608333333333334,0.9616666666666668,0.0,0.0,49.3,79.3
complete contract grid,all present in the CSV,h4,,E,0.1,val,30,0.864611111111111,0.04256994094764614,0.03390299609800138,0.05722741779529016,0.7816666666666666,0.9516666666666668,0.0,0.0,49.3,79.3
complete contract grid,all present in the CSV,h4,,F,0.03,test,30,0.8334444444444445,0.031530054182169164,0.02511075374106105,0.04238633043936374,0.8008333333333333,0.9558333333333332,0.7516412913799286,0.9626386761665344,75.53333333333333,105.53333333333333
complete contract grid,all present in the CSV,h4,,F,0.03,val,30,0.8421111111111111,0.03472644418776456,0.027656380901330425,0.04668328604265809,0.8083333333333333,0.9516666666666668,0.7516412913799286,0.9626386761665344,75.53333333333333,105.53333333333333
complete contract grid,all present in the CSV,h42,L1,A,0.01,test,30,0.9446111111111111,0.024404530283119962,0.01943593710829242,0.032807380501831324,0.8908333333333334,0.9725,0.8335542897383372,1.158272624015808,120.9,150.9
complete contract grid,all present in the CSV,h42,L1,A,0.01,val,30,0.9518333333333333,0.017726908783517722,0.014117833051644369,0.02383055255869368,0.9183333333333332,0.975,0.8335542897383372,1.158272624015808,120.9,150.9
complete contract grid,all present in the CSV,h42,L1,B,0.01,test,30,0.7922222222222224,0.05766585829832282,0.04592548933249204,0.07752108863436405,0.7008333333333333,0.9166666666666666,0.0,0.0,100.43333333333334,130.43333333333334
complete contract grid,all present in the CSV,h42,L1,B,0.01,val,30,0.8022777777777779,0.05450664013353082,0.04340946608394204,0.07327410370090202,0.69,0.9116666666666666,0.0,0.0,100.43333333333334,130.43333333333334
complete contract grid,all present in the CSV,h42,,D_matched,0.01,test,30,0.757611111111111,0.05189499664595596,0.04132953510453304,0.06976323171779068,0.6466666666666666,0.8458333333333333,0.0,0.0,67.6,97.6
complete contract grid,all present in the CSV,h42,,D_matched,0.01,val,30,0.7646111111111114,0.048716639697306614,0.038798269595834406,0.06549051822667701,0.6666666666666666,0.8616666666666667,0.0,0.0,67.6,97.6
complete contract grid,all present in the CSV,h42,,E,0.03,test,30,0.9653055555555554,0.01834832633192004,0.014612734295332337,0.0246659336016573,0.9141666666666668,0.9833333333333332,0.0,0.0,103.8,133.8
complete contract grid,all present in the CSV,h42,,E,0.03,val,30,0.9669444444444445,0.014765623152286921,0.011759444645041783,0.019849651334563484,0.9433333333333334,0.9866666666666668,0.0,0.0,103.8,133.8
complete contract grid,all present in the CSV,h42,,F,0.01,test,30,0.9538611111111112,0.020309486833197995,0.016174616114810345,0.02730235143245206,0.9066666666666666,0.9741666666666666,0.692638690272967,0.8534715175628662,88.5,118.5
complete contract grid,all present in the CSV,h42,,F,0.01,val,30,0.9587222222222225,0.014133214956491178,0.011255790373574142,0.0189994953974792,0.925,0.9733333333333334,0.692638690272967,0.8534715175628662,88.5,118.5
complete contract grid,all present in the CSV,h42,L2,A,0.01,test,30,0.9380000000000002,0.02646801004147376,0.02107930669346075,0.035581347663041746,0.8925,0.97,0.7750005125999451,1.0185444355010986,118.73333333333333,148.73333333333332
complete contract grid,all present in the CSV,h42,L2,A,0.01,val,30,0.945888888888889,0.019791699435342956,0.015762246641461468,0.026606281973896116,0.9083333333333332,0.98,0.7750005125999451,1.0185444355010986,118.73333333333333,148.73333333333332
complete contract grid,all present in the CSV,h42,L2,B,0.01,test,30,0.7663333333333332,0.054332681048196566,0.0432709238623648,0.0730402478619204,0.6083333333333333,0.8391666666666666,0.0,0.0,79.66666666666667,109.66666666666667
complete contract grid,all present in the CSV,h42,L2,B,0.01,val,30,0.7700555555555557,0.06337035114983292,0.050468586987329575,0.0851897249645177,0.5833333333333334,0.8583333333333333,0.0,0.0,79.66666666666667,109.66666666666667
complete contract grid,all present in the CSV,h42,,D_matched,0.01,test,30,0.757611111111111,0.05189499664595596,0.04132953510453304,0.06976323171779068,0.6466666666666666,0.8458333333333333,0.0,0.0,67.6,97.6
complete contract grid,all present in the CSV,h42,,D_matched,0.01,val,30,0.7646111111111114,0.048716639697306614,0.038798269595834406,0.06549051822667701,0.6666666666666666,0.8616666666666667,0.0,0.0,67.6,97.6
complete contract grid,all present in the CSV,h42,,E,0.03,test,30,0.9653055555555554,0.01834832633192004,0.014612734295332337,0.0246659336016573,0.9141666666666668,0.9833333333333332,0.0,0.0,103.8,133.8
complete contract grid,all present in the CSV,h42,,E,0.03,val,30,0.9669444444444445,0.014765623152286921,0.011759444645041783,0.019849651334563484,0.9433333333333334,0.9866666666666668,0.0,0.0,103.8,133.8
complete contract grid,all present in the CSV,h42,,F,0.01,test,30,0.9538611111111112,0.020309486833197995,0.016174616114810345,0.02730235143245206,0.9066666666666666,0.9741666666666666,0.692638690272967,0.8534715175628662,88.5,118.5
complete contract grid,all present in the CSV,h42,,F,0.01,val,30,0.9587222222222225,0.014133214956491178,0.011255790373574142,0.0189994953974792,0.925,0.9733333333333334,0.692638690272967,0.8534715175628662,88.5,118.5
complete contract grid,all present in the CSV,linear,L1,A,0.03,test,30,0.8218333333333333,0.0071398187297895,0.005686201135072871,0.009598166695481272,0.8058333333333333,0.8333333333333334,1.0081658720970155,1.5889891386032104,44.43333333333333,74.43333333333334
complete contract grid,all present in the CSV,linear,L1,A,0.03,val,30,0.827,0.01136641554311872,0.009052292139200724,0.015280044948169043,0.8033333333333333,0.8466666666666667,1.0081658720970155,1.5889891386032104,44.43333333333333,74.43333333333334
complete contract grid,all present in the CSV,linear,L1,B,0.03,test,30,0.7334999999999999,0.04457676662349303,0.035501245979091905,0.059925224013420604,0.6316666666666667,0.7966666666666666,0.0,0.0,70.6,100.4
complete contract grid,all present in the CSV,linear,L1,B,0.03,val,30,0.7379999999999998,0.041313213493934395,0.03290212964127221,0.055537980003097266,0.6516666666666666,0.8,0.0,0.0,70.6,100.4
complete contract grid,all present in the CSV,linear,,D_matched,0.03,test,30,0.6923055555555554,0.04315762527540778,0.0343710319709067,0.058017450757701844,0.5808333333333333,0.7691666666666667,0.0,0.0,22.5,52.5
complete contract grid,all present in the CSV,linear,,D_matched,0.03,val,30,0.695111111111111,0.04276356931772449,0.0340572030743113,0.057487715352318065,0.5816666666666667,0.7783333333333333,0.0,0.0,22.5,52.5
complete contract grid,all present in the CSV,linear,,E,0.1,test,30,0.7821388888888889,0.015721296494685764,0.012520549520384661,0.0211343775151457,0.7633333333333333,0.8116666666666666,,,,
complete contract grid,all present in the CSV,linear,,E,0.1,val,30,0.7765555555555557,0.022679396920991354,0.018062028938753083,0.03048825753690773,0.7483333333333333,0.815,,,,
complete contract grid,all present in the CSV,linear,,F,0.03,test,30,0.8060833333333334,0.014211642601775949,0.011318250693999183,0.019104926871507603,0.7791666666666667,0.8275,0.8402231077353159,1.206121802330017,27.033333333333335,57.03333333333333
complete contract grid,all present in the CSV,linear,,F,0.03,val,30,0.8064444444444443,0.009030952875193838,0.007192313479257028,0.012140447033128233,0.7933333333333333,0.8183333333333334,0.8402231077353159,1.206121802330017,27.033333333333335,57.03333333333333
complete contract grid,all present in the CSV,linear,L2,A,0.03,test,30,0.818138888888889,0.0076897557536274915,0.006124174793440298,0.010337455384252998,0.7975,0.8308333333333333,1.0269454042116801,1.505869746208191,40.96666666666667,70.96666666666667
complete contract grid,all present in the CSV,linear,L2,A,0.03,val,30,0.8253888888888888,0.010913130806978222,0.00869129303282295,0.014670687396857372,0.8033333333333333,0.8483333333333334,1.0269454042116801,1.505869746208191,40.96666666666667,70.96666666666667
complete contract grid,all present in the CSV,linear,L2,B,0.03,test,30,0.7059444444444443,0.06344693884287318,0.050529581957031146,0.08529268296281473,0.5775,0.7966666666666666,0.0,0.0,55.53333333333333,85.53333333333333
complete contract grid,all present in the CSV,linear,L2,B,0.03,val,30,0.7071666666666669,0.07024880522838325,0.055946635502176496,0.09443653519202128,0.5216666666666666,0.8016666666666666,0.0,0.0,55.53333333333333,85.53333333333333
complete contract grid,all present in the CSV,linear,,D_matched,0.03,test,30,0.6923055555555554,0.04315762527540778,0.0343710319709067,0.058017450757701844,0.5808333333333333,0.7691666666666667,0.0,0.0,22.5,52.5
complete contract grid,all present in the CSV,linear,,D_matched,0.03,val,30,0.695111111111111,0.04276356931772449,0.0340572030743113,0.057487715352318065,0.5816666666666667,0.7783333333333333,0.0,0.0,22.5,52.5
complete contract grid,all present in the CSV,linear,,E,0.1,test,30,0.7821388888888889,0.015721296494685764,0.012520549520384661,0.0211343775151457,0.7633333333333333,0.8116666666666666,,,,
complete contract grid,all present in the CSV,linear,,E,0.1,val,30,0.7765555555555557,0.022679396920991354,0.018062028938753083,0.03048825753690773,0.7483333333333333,0.815,,,,
complete contract grid,all present in the CSV,linear,,F,0.03,test,30,0.8060833333333334,0.014211642601775949,0.011318250693999183,0.019104926871507603,0.7791666666666667,0.8275,0.8402231077353159,1.206121802330017,27.033333333333335,57.03333333333333
complete contract grid,all present in the CSV,linear,,F,0.03,val,30,0.8064444444444443,0.009030952875193838,0.007192313479257028,0.012140447033128233,0.7933333333333333,0.8183333333333334,0.8402231077353159,1.206121802330017,27.033333333333335,57.03333333333333
