ansatz,R,x_setting,seed,n_theta,n_pairs,n_mw,n_bins,kl,mw_mean,mw_sd,fid_mean,wall_seconds
L1,3,x_zero,2,50,5000,2000,75,0.0201855960457084,0.6015830937214205,0.19944181514488266,0.03168743802492849,9.96009958301147
L1,3,x_zero,3,50,5000,2000,75,0.028275722300072324,0.6057089829774414,0.2006646197648829,0.03139361230809354,9.786429916988709
L1,3,x_draw1,1,50,5000,2000,75,0.013734749705971423,0.6450270688080351,0.17495713170983793,0.031897450421871656,9.782895249998546
L1,3,x_draw1,2,50,5000,2000,75,0.010791603080601769,0.6480388168341354,0.17573382780274432,0.030819020572863554,9.867117499990854
L1,3,x_draw1,3,50,5000,2000,75,0.02284215360852985,0.6527983942320982,0.17499953516233668,0.031295119216592164,9.746139791997848
L1,3,x_draw2,1,50,5000,2000,75,0.012110141290565143,0.6442482582300784,0.17038114661513756,0.03157334045707193,9.848126208991744
L1,3,x_draw2,2,50,5000,2000,75,0.013962904088310333,0.646219804001978,0.1733499335271211,0.03118785865465577,9.76022479099629
L1,3,x_draw2,3,50,5000,2000,75,0.02033806658963446,0.6515516215751554,0.1713633795997766,0.030523977704513164,9.833979957998963
L2,2,x_zero,1,35,5000,2000,75,0.011048018267229604,0.679888881297714,0.15641099056808708,0.030202355451549125,6.85432137499447
L2,2,x_zero,2,35,5000,2000,75,0.010964106672159734,0.6806661030046137,0.1522184389071643,0.03116374886712793,6.8504991660011
L2,2,x_zero,3,35,5000,2000,75,0.01307817294213634,0.680072048951264,0.15496660706317902,0.031246583435107778,7.037679665998439
L2,2,x_draw1,1,35,5000,2000,75,0.007917359160008922,0.7076271740236082,0.14220140581490057,0.030854832461800253,7.015769750010804
L2,2,x_draw1,2,35,5000,2000,75,0.007670047748746817,0.7065819574880641,0.1387037949059558,0.03136333211141905,7.027686667002854
L2,2,x_draw1,3,35,5000,2000,75,0.009232758019262145,0.703875719501696,0.1415581818178875,0.03080551121612321,6.915287249998073
L2,2,x_draw2,1,35,5000,2000,75,0.00885110921601551,0.6911732823307434,0.14882095886122798,0.030723675336848232,6.898016584003926
L2,2,x_draw2,2,35,5000,2000,75,0.010583739613292047,0.6936649255982509,0.14301473111465957,0.030936983361916692,7.004978666009265
L2,2,x_draw2,3,35,5000,2000,75,0.008372105852201304,0.6893004981316846,0.14968806134299895,0.030525415616797665,6.949394916009624
